p_val,avg_log2FC,pct.1,pct.2,p_val_adj,marker,celltype,de
26437,4.24800129476663e-28,-0.662545600538205,0.046,0.073,1.62171697429011e-23,KMO,Ex,Down reg
26483,1.59602804299143e-27,-0.658486614749023,0.024,0.044,6.09299665692409e-23,PHEX-AS1,Ex,Down reg
26519,3.26834919978618e-27,-0.686208177329007,0.065,0.095,1.24772499051037e-22,NR4A3,Ex,Down reg
26520,3.30998645073823e-27,-0.677892257288124,0.029,0.05,1.26362042743383e-22,C4orf54,Ex,Down reg
26637,5.36896331261859e-26,0.882839713057067,0.076,0.05,2.04965543422527e-21,GPR55,Ex,Up reg
26680,1.19089829289582e-25,-0.674525540082685,0.021,0.039,4.54637332295909e-21,SAPCD1-AS1,Ex,Down reg
26739,4.08137832864513e-25,-1.30114751693662,0.006,0.017,1.55810699074356e-20,LDHC,Ex,Down reg
26760,6.46310925460083e-25,0.684124405777014,0.114,0.083,2.46735658903641e-20,BAIAP2L2,Ex,Up reg
26883,7.09557688034443e-24,0.718665445653564,0.056,0.033,2.70880742984029e-19,PTP4A1,Ex,Up reg
27001,5.63795658415556e-23,-2.00156640837553,0.002,0.01,2.15234630556723e-18,BFSP2-AS1,Ex,Down reg
27111,4.52184188314307e-22,0.869233936987067,0.049,0.029,1.7262583573087e-17,PMFBP1,Ex,Up reg
27182,1.38933564067408e-21,-1.65265354713867,0.007,0.018,5.30392774183736e-17,C6orf141,Ex,Down reg
27204,2.63938297160406e-21,1.24318549542615,0.05,0.031,1.00761084323957e-16,C5orf17,Ex,Up reg
27226,4.20193936111002e-21,-0.735149066690348,0.009,0.021,1.60413237049736e-16,AL160396.1,Ex,Down reg
27299,1.35253998508447e-20,0.792377373391908,0.083,0.059,5.16345664705848e-16,NPIPB2,Ex,Up reg
27353,2.56107727786754e-20,-0.714764313733828,0.012,0.024,9.77716861598711e-16,C8orf34-AS1,Ex,Down reg
27415,5.66196887894246e-20,1.03487282739871,0.039,0.023,2.16151323922507e-15,MGAM,Ex,Up reg
27743,4.858993228202e-18,0.765703657037922,0.103,0.078,1.85496925479839e-13,ANO2,Ex,Up reg
27937,5.26319885298229e-17,0.858454905422284,0.045,0.029,2.00927879411452e-12,AC003684.1,Ex,Up reg
27981,8.23009607704018e-17,-0.686301374475373,0.032,0.049,3.14192147837086e-12,AL121929.2,Ex,Down reg
28136,4.46442269195706e-16,-0.685987176133511,0.019,0.032,1.70433800688153e-11,TYRP1,Ex,Down reg
28188,8.86949403590991e-16,-0.910530415841,0.027,0.042,3.38601804314897e-11,RNF181,Ex,Down reg
28351,6.05438369825416e-15,-1.17972803769175,0.005,0.012,2.31132152064551e-10,ST8SIA2,Ex,Down reg
28453,1.89236286512582e-14,0.652085095677557,0.05,0.034,7.22428447390433e-10,EIF1AY,Ex,Up reg
28656,1.10606990143586e-13,0.714908792489208,0.033,0.02,4.22253245572153e-09,AL391811.1,Ex,Up reg
28963,1.35481833665816e-12,1.25509499178421,0.023,0.013,5.17215448202618e-08,TMEM26-AS1,Ex,Up reg
29067,3.93703338297281e-12,-1.02256506244666,0.007,0.014,1.5030018642837e-07,AC009812.4,Ex,Down reg
29123,5.62135209172084e-12,0.939456762173815,0.033,0.021,2.14600737453535e-07,AC064834.1,Ex,Up reg
29157,7.69126655295967e-12,0.829180076120778,0.03,0.019,2.93621791925788e-07,OR2T6,Ex,Up reg
29280,2.01451642342127e-11,1.00812835819602,0.017,0.009,7.69061789805303e-07,IL33,Ex,Up reg
29480,9.41652298817067e-11,-0.830147560026651,0.006,0.013,3.59485181596403e-06,ADRA1D,Ex,Down reg
29586,2.18956858589587e-10,-0.773584504962392,0.012,0.02,8.35889703351606e-06,BICDL2,Ex,Down reg
29587,2.19539741995434e-10,0.605884128772398,0.067,0.052,8.38114919041769e-06,AC007220.1,Ex,Up reg
29617,2.61425817713093e-10,-0.689013446455397,0.022,0.033,9.98019201701504e-06,ABCA4,Ex,Down reg
29626,2.83944752378649e-10,-1.21842632524265,0.008,0.014,1.08398748668073e-05,HBQ1,Ex,Down reg
29630,2.98485530477423e-10,-0.704791504997861,0.021,0.031,1.13949836115061e-05,DUSP2,Ex,Down reg
29870,1.74430903300647e-09,0.961560875805934,0.027,0.017,6.65907416440549e-05,LINC02356,Ex,Up reg
29914,2.27252729241645e-09,0.681924299982474,0.03,0.02,8.67560019152902e-05,TEX53,Ex,Up reg
29938,2.62095710503872e-09,0.806075668628822,0.024,0.015,0.000100057658441958,SLC7A2,Ex,Up reg
30073,6.86847297186235e-09,-0.731222545516419,0.006,0.011,0.000262210824173817,CBS,Ex,Down reg
30079,7.04319107192953e-09,-0.613849662837287,0.01,0.017,0.000268880862361982,MCHR1,Ex,Down reg
30190,1.3428035358399e-08,0.614804568404332,0.063,0.049,0.000512628677842238,AF038458.3,Ex,Up reg
30218,1.5911710433773e-08,-0.728563241784442,0.007,0.013,0.000607445457519719,AL357052.1,Ex,Down reg
30400,4.92501601565606e-08,-0.764592680622599,0.067,0.081,0.00188017411413686,THSD7B,Ex,Down reg
30655,2.36423722749416e-07,0.680845384335549,0.03,0.022,0.00902571203968171,HCN4,Ex,Up reg
30888,7.78594153620269e-07,0.681925835882276,0.052,0.042,0.0297236104086074,AC093535.1,Ex,Up reg
30975,1.24452488876049e-06,0.72412947776987,0.034,0.025,0.0475109821533204,AC012636.1,Ex,Up reg
37533,1.31207666418097e-13,1.24335357793714,0.717,0.425,5.00898387317727e-09,AC026316.5,Mes,Up reg
37534,7.92160634761194e-13,1.56115270337686,0.428,0.147,3.02415243926433e-08,FAM85B,Mes,Up reg
37542,1.30639901551191e-08,0.834924311203818,0.391,0.154,0.000498730888161826,NAIP,Mes,Up reg
37547,3.67127643224849e-08,-3.06507993476737,0.026,0.154,0.00140154649077518,WFIKKN2,Mes,Down reg
37549,8.30205249152463e-08,1.01719402841922,0.398,0.187,0.00316939155916444,LINC02256,Mes,Up reg
37553,1.71419922786986e-07,2.18832785941193,0.197,0.051,0.00654412697231597,AL359091.1,Mes,Up reg
37565,5.52431527563266e-07,0.80639195841994,0.602,0.388,0.0210896259962552,BCL6,Mes,Up reg
52826,2.74928207373579e-230,1.28476098434115,0.673,0.35,1.04956592446937e-225,CNTNAP3B,Ast,Up reg
52829,3.68947375530761e-227,1.4167369702544,0.608,0.299,1.40849350082623e-222,LINC00486,Ast,Up reg
52838,5.82784178989342e-212,0.85963857578522,0.845,0.609,2.22483688170971e-207,PDE4DIP,Ast,Up reg
52840,6.01528976545514e-206,1.72963789226067,0.436,0.155,2.29639702086016e-201,FAM85B,Ast,Up reg
52861,1.56765217048028e-182,0.82007988327538,0.83,0.558,5.98466892602551e-178,BCL6,Ast,Up reg
52869,3.42873739182385e-176,0.937178355836826,0.697,0.406,1.30895478670267e-171,AC245297.3,Ast,Up reg
52871,1.32926447990449e-174,0.733936462999396,0.764,0.497,5.07460007848339e-170,AC016831.7,Ast,Up reg
52875,9.66168699253634e-172,1.42446373099573,0.44,0.177,3.68844562627067e-167,LINC02256,Ast,Up reg
52878,5.01911484956798e-169,1.3165998650063,0.413,0.153,1.91609728497107e-164,WASHC1,Ast,Up reg
52879,5.70595513073244e-168,-0.939310124650414,0.424,0.693,2.17830543070841e-163,TMEM161B-AS1,Ast,Down reg
52888,1.59732699491825e-162,1.20818012930821,0.433,0.169,6.09795553579991e-158,LINC00623,Ast,Up reg
52927,4.46949356997666e-142,0.636719367456805,0.51,0.215,1.70627386527429e-137,RASGEF1B,Ast,Up reg
52937,1.06070466746185e-138,-1.35946975276229,0.307,0.517,4.04934613850234e-134,AL160272.1,Ast,Down reg
52942,1.64712877925302e-136,1.13474107374735,0.524,0.295,6.28807882767634e-132,FAM182B,Ast,Up reg
52944,4.85825382481659e-136,0.953228369452366,0.634,0.361,1.85468698016198e-131,TMTC1,Ast,Up reg
52977,9.2698884923555e-121,1.07607966843768,0.343,0.13,3.53887263084164e-116,AC096711.2,Ast,Up reg
52979,1.34438118241204e-120,0.969865296348447,0.435,0.202,5.13230960197621e-116,PDE5A,Ast,Up reg
53012,3.35853338773008e-106,2.43188837152369,0.157,0.027,1.28215370609983e-101,LINC00500,Ast,Up reg
53020,7.60255391761629e-105,1.06646384613515,0.276,0.097,2.90235098358919e-100,C1RL,Ast,Up reg
53054,1.86993774602798e-96,0.738171716709691,0.517,0.292,7.13867433923642e-92,LRRC37A3,Ast,Up reg
53073,8.58517930502431e-92,0.828868242373215,0.67,0.456,3.27747805148608e-87,FTL,Ast,Up reg
53074,1.27711505855517e-91,0.673052158901131,0.471,0.254,4.87551444754021e-87,NAIP,Ast,Up reg
53084,1.66607600016312e-90,0.970435005095506,0.313,0.135,6.36041173822271e-86,TIMM23B,Ast,Up reg
53085,4.20361590487136e-90,1.1846602614044,0.241,0.086,1.60477240784369e-85,CR381653.1,Ast,Up reg
53091,1.48390863718961e-89,1.35984175422189,0.242,0.089,5.66496961333505e-85,FAM157C,Ast,Up reg
53114,3.82502057904537e-86,1.38136090125232,0.214,0.072,1.46023985625636e-81,SPDYE3,Ast,Up reg
53117,1.13739733082291e-85,1.39743988506621,0.219,0.075,4.34212805014952e-81,CHD1L,Ast,Up reg
53158,9.86591364145118e-80,1.45135807044335,0.199,0.067,3.7664111917604e-75,AGAP6,Ast,Up reg
53163,4.12904062305998e-79,1.05480397371386,0.231,0.088,1.57630254825938e-74,AC009403.1,Ast,Up reg
